Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series A - Nate,https://www.crunchbase.com/funding_round/nate-series-a--bc5c5675,"Canaan Partners, Coatue, Forerunner, Renegade Partners",Nate,https://www.crunchbase.com/organization/nate,Series A,38000000,USD,38000000,2021-06-17,Renegade Partners,,,,47300000,USD,47300000
Series E - Relativity Space,https://www.crunchbase.com/funding_round/relativity-space-series-e--a825ab99,"Baillie Gifford, BlackRock, Brad Buss, Centricus, Coatue, Ethos VC, Fidelity, Inertia Ventures, Jared Leto, K5 Global, Mark Cuban, Montauk Ventures, Salmira Investment Fund, Sand Hill Angels, Soroban Capital Partners LP, Spencer Rascoff, Taihill Venture, Tiger Global Management, Tribe Capital, Valia Ventures, XN",Relativity Space,https://www.crunchbase.com/organization/relativity-space,Series E,650000000,USD,650000000,2021-06-08,Fidelity,3550000000,USD,3550000000,1355719978,USD,1355719978
Series E - Gong,https://www.crunchbase.com/funding_round/gong-io-series-e--be4f619c,"Coatue, Franklin Templeton, Salesforce Ventures, Sequoia Capital, Skip Capital, Thrive Capital, Tiger Global Management",Gong,https://www.crunchbase.com/organization/gong-io,Series E,250000000,USD,250000000,2021-06-03,Franklin Templeton,7000000000,USD,7000000000,583000000,USD,583000000
Series A - Pinwheel,https://www.crunchbase.com/funding_round/pinwheel-7871-series-a--eee6f121,"Adam Nash, Amit Agarwal, Coatue, First Round Capital, Gokul Rajaram, Jacqueline Reses, Pareto Holdings, Primary Ventures, Raj Date, SemperVirens Venture Capital, Shishir Mehrotra, Shiva Rajaraman, Tony Xu, Upfront Ventures",Pinwheel,https://www.crunchbase.com/organization/pinwheel-7871,Series A,20000000,USD,20000000,2021-06-02,Coatue,,,,77000000,USD,77000000
Post-IPO Equity - SoFi,https://www.crunchbase.com/funding_round/social-finance-post-ipo-equity--c2e78d6c,"Altimeter Capital, Baron Capital, BlackRock, Coatue, Durable Capital Partners, Healthcare of Ontario Pension Plan (HOOPP), T. Rowe Price",SoFi,https://www.crunchbase.com/organization/social-finance,Post-IPO Equity,1200000000,USD,1200000000,2021-06-01,,,,,4845067367,USD,4845067367
Series D - Inxeption,https://www.crunchbase.com/funding_round/inxeption-series-d--f4415964,"Coatue, John Thompson",Inxeption,https://www.crunchbase.com/organization/inxeption,Series D,61500000,USD,61500000,2021-05-27,Coatue,,,,336500000,USD,336500000
Series B - Commerce Layer,https://www.crunchbase.com/funding_round/commerce-layer-series-b--b3091825,"Benchmark, Coatue, Mango Capital",Commerce Layer,https://www.crunchbase.com/organization/commerce-layer,Series B,16000000,USD,16000000,2021-05-25,Coatue,,,,22000000,USD,22000000
Series C - Aurora Solar,https://www.crunchbase.com/funding_round/aurora-solar-series-c--b3f7c701,"Coatue, Energize Capital, Fifth Wall, ICONIQ Growth",Aurora Solar,https://www.crunchbase.com/organization/aurora-solar,Series C,250000000,USD,250000000,2021-05-24,Coatue,1750000000,USD,1750000000,523470493,USD,523470493
Series B - Boost,https://www.crunchbase.com/funding_round/boost-insurance-series-b--4d73ed74,"Coatue, Conversion Capital, Fin Capital, Gaingels, Glenn Hubbard, Global publicly traded reinsurance company, Greycroft, Hack VC, RRE Ventures",Boost,https://www.crunchbase.com/organization/boost-insurance,Series B,20000000,USD,20000000,2021-05-20,RRE Ventures,,,,37000000,USD,37000000
Series C - Loom,https://www.crunchbase.com/funding_round/loom-series-c--e1c7b94a,"Andreessen Horowitz, Coatue, General Catalyst, ICONIQ Growth, Kleiner Perkins, Sequoia Capital",Loom,https://www.crunchbase.com/organization/loom,Series C,130000000,USD,130000000,2021-05-20,Andreessen Horowitz,1400000000,USD,1400000000,203550000,USD,203550000
Series A - WeaveGrid,https://www.crunchbase.com/funding_round/weave-grid-series-a--f375440c,"Breakthrough Energy Ventures, Climactic VC, Coatue, Grok Ventures, Josh Felser, Ramez Naam, The Westly Group",WeaveGrid,https://www.crunchbase.com/organization/weave-grid,Series A,15000000,USD,15000000,2021-05-20,Coatue,,,,50000000,USD,50000000
Series F - Lyra Health,https://www.crunchbase.com/funding_round/lyra-health-series-f--2a7684d8,"Coatue, IVP, Sands Capital Ventures",Lyra Health,https://www.crunchbase.com/organization/lyra-health,Series F,200000000,USD,200000000,2021-05-17,Coatue,4400000000,USD,4400000000,910100000,USD,910100000
Series E - Handshake,https://www.crunchbase.com/funding_round/handshake-2-series-e--48509ec0,"Chan Zuckerberg Initiative, Coatue, Emerson Collective, EQT Ventures, Kleiner Perkins, Lightspeed Venture Partners, Notable Capital, Omidyar Network, Reach Capital, Spark Capital, True Ventures, Valiant Peregrine Fund",Handshake,https://www.crunchbase.com/organization/handshake-2,Series E,80000000,USD,80000000,2021-05-12,"Lightspeed Venture Partners, Spark Capital",1420000000,USD,1420000000,434000000,USD,434000000
Private Equity Round - Caris Life Sciences,https://www.crunchbase.com/funding_round/caris-life-sciences-private-equity--a998f7ed,"ClearBridge Investments, Coatue, Columbia Threadneedle Investments, CPP Investments, Eaton Vance Management, Empede Capital, Fidelity, First Light Asset Management, Highland Capital Management, LP., Millennium Management, Neuberger Berman, OrbiMed, Pura Vida Investments, Rock Springs Capital, Silver Lake, Sixth Street, T. Rowe Price, Tudor Group",Caris Life Sciences,https://www.crunchbase.com/organization/caris-life-sciences,Private Equity,830000000,USD,830000000,2021-05-11,Sixth Street,7000000000,USD,7000000000,1690000000,USD,1690000000
Series B - CloudWalk,https://www.crunchbase.com/funding_round/cloudwalk-series-b--59f6a99a,"Coatue, DST Global, FIS, Plug and Play, The Hive, Valor Capital Group",CloudWalk,https://www.crunchbase.com/organization/cloudwalk,Series B,190000000,USD,190000000,2021-05-11,Coatue,,,,345062999,USD,345062999
