Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series C - Kinnate Biopharma,https://www.crunchbase.com/funding_round/kinnate-biopharma-series-c--070541e7,"Boxer Capital, Fidelity, Foresite Capital, Janus Henderson Investors, Leerink Partners, Logos Capital, Nextech Invest, OrbiMed, RA Capital Management, Surveyor Capital, Venrock Healthcare Capital Partners, Vida Ventures, Viking Global Investors",Kinnate Biopharma,https://www.crunchbase.com/organization/kinnate-biopharma,Series C,98000000,USD,98000000,2020-08-26,RA Capital Management,,,,194500000,USD,194500000
Series D - PMV Pharmaceuticals,https://www.crunchbase.com/funding_round/pmv-pharmaceutcals-inc-series-d--01dccb4b,"Avoro Capital Advisors, Boxer Capital, Nextech Invest, OrbiMed, RA Capital Management, Viking Global Investors, Wellington Management",PMV Pharmaceuticals,https://www.crunchbase.com/organization/pmv-pharmaceutcals-inc,Series D,70000000,USD,70000000,2020-08-03,,,,,236000000,USD,236000000
Series A - Mantra Bio,https://www.crunchbase.com/funding_round/mantra-bio-series-a--59f76179,"8VC, Allen & Company, BoxGroup, Viking Global Investors",Mantra Bio,https://www.crunchbase.com/organization/mantra-bio,Series A,25000000,USD,25000000,2020-07-29,"8VC, Viking Global Investors",,,,34000000,USD,34000000
Series C - Talkdesk,https://www.crunchbase.com/funding_round/talkdesk-series-c--500e9b13,"Franklin Templeton, Lead Edge Capital, Skip Capital, Threshold, Top Tier Capital Partners, Viking Global Investors, Willoughby Capital",Talkdesk,https://www.crunchbase.com/organization/talkdesk,Series C,143000000,USD,143000000,2020-07-23,,2857000000,USD,2857000000,497450000,USD,497450000
Series B - VelosBio,https://www.crunchbase.com/funding_round/velosbio-inc-series-b--9d85f999,"Adage Capital Management, Arix Bioscience, Cormorant Asset Management, Decheng Capital, Farallon Capital Management, Foresite Capital, Global Source Ventures, Janus Henderson Investors, Logos Capital, Matrix Capital Management, Mesa Verde Venture Partners, OrbiMed, Pappas Capital, Sofinnova Investments, Surveyor Capital, T. Rowe Price, Takeda Ventures, Venrock, Viking Global Investors, Wellington Management",VelosBio,https://www.crunchbase.com/organization/velosbio-inc,Series B,137000000,USD,137000000,2020-07-08,"Matrix Capital Management, Surveyor Capital",,,,202700000,USD,202700000
Series C - 4D Molecular Therapeutics,https://www.crunchbase.com/funding_round/4d-molecular-therapeutics-series-c--0c80cebe,"Amzak Health Investors, ArrowMark Partners, Berkeley Catalyst Fund (BCF), Biotechnology Value Fund, Casdin Capital, Chiesi Ventures, Cystic Fibrosis Foundation, Longevity Vision Fund, MiraeAsset Financial Group, Octagon Capital Advisors, Pappas Capital, Perceptive Advisors, Pfizer Venture Investments, QUAD Investment Management, Ridgeback Capital, Viking Global Investors",4D Molecular Therapeutics,https://www.crunchbase.com/organization/4d-molecular-therapeutics,Series C,75000000,USD,75000000,2020-06-16,Viking Global Investors,,,,594999995,USD,594999995
Series B - HeadLight,https://www.crunchbase.com/funding_round/pavia-systems-series-b--98f8aa81,Viking Global Investors,HeadLight,https://www.crunchbase.com/organization/pavia-systems,Series B,25600000,USD,25600000,2020-06-11,Viking Global Investors,,,,32549994,USD,32549994
Series B - Athira Pharma,https://www.crunchbase.com/funding_round/athira-pharma-series-b--9e2297a8,"Avidity Partners, Ditch Plains Capital Management LP, Franklin Templeton, Highline Capital Management, Janus Henderson Investors, LifeSci Venture Partners, Logos Capital, Perceptive Advisors, Richard Kayne, Rock Springs Capital, RTW Investments, Sahsen Ventures, Sofinnova Investments, Surveyor Capital, Suzanne Kayne, Venrock Healthcare Capital Partners, Viking Global Investors",Athira Pharma,https://www.crunchbase.com/organization/athira-pharma,Series B,85000000,USD,85000000,2020-06-04,Perceptive Advisors,,,,233600000,USD,233600000
Series F - Ginkgo Bioworks,https://www.crunchbase.com/funding_round/ginkgo-bioworks-series-f--ac8e0499,"General Atlantic, Illumina, Viking Global Investors",Ginkgo Bioworks,https://www.crunchbase.com/organization/ginkgo-bioworks,Series F,70000000,USD,70000000,2020-05-28,,,,,1575403063,USD,1575403063
Series B - AbCellera,https://www.crunchbase.com/funding_round/abcellera-biologics-series-b--8a3a7aea,"DCVC, Eli Lilly, Founders Fund, OrbiMed, Peter Thiel, Presight Capital, University of Minnesota, Viking Global Investors",AbCellera,https://www.crunchbase.com/organization/abcellera-biologics,Series B,105000000,USD,105000000,2020-05-27,"DCVC, OrbiMed",,,,886981407,USD,886981407
Series D - Apeel Sciences,https://www.crunchbase.com/funding_round/apeel-sciences-series-d--352946c5,"GIC, Katy Perry, Oprah Winfrey, Rock Creek Capital, Tao Capital Partners, Upfront Ventures, Viking Global Investors",Apeel Sciences,https://www.crunchbase.com/organization/apeel-sciences,Series D,250000000,USD,250000000,2020-05-26,GIC,750000000,USD,750000000,719060564,USD,719060564
Series B - Checkerspot,https://www.crunchbase.com/funding_round/checkerspot-series-b--0f8a73e5,"Breakout Ventures, Builders VC, Cavallo Ventures, Viking Global Investors",Checkerspot,https://www.crunchbase.com/organization/checkerspot,Series B,36000000,USD,36000000,2020-05-04,Viking Global Investors,,,,109000000,USD,109000000
Series B - Affinivax,https://www.crunchbase.com/funding_round/affinivax-series-b--83b13f55,"Bain Capital Life Sciences, Viking Global Investors, Ziff Capital Partners",Affinivax,https://www.crunchbase.com/organization/affinivax,Series B,120000000,USD,120000000,2020-04-23,Viking Global Investors,,,,377487455,USD,377487455
Series B - Rallybio,https://www.crunchbase.com/funding_round/rallybio-series-b--8fa731d5,"5AM Ventures, Canaan Partners, Connecticut Innovations, F-Prime Capital, Fairview Capital Partners, Global Investment Partners, Mitsui Global Investment, New Leaf Venture Partners, Pivotal bioVenture Partners, Solasta Ventures, Tekla Capital Management, The Rise Fund, Viking Global Investors",Rallybio,https://www.crunchbase.com/organization/rallybio,Series B,145000000,USD,145000000,2020-04-14,Pivotal bioVenture Partners,,,,238600000,USD,238600000
Series A - AbCellera,https://www.crunchbase.com/funding_round/abcellera-biologics-series-a--88e11825,"DCVC Bio, Founders Fund, OrbiMed, Presight Capital, Viking Global Investors",AbCellera,https://www.crunchbase.com/organization/abcellera-biologics,Series A,75000000,USD,75000000,2020-03-23,"DCVC Bio, OrbiMed",,,,886981407,USD,886981407
